Participant,Audio,Valence,Arousal
0,Audio 1,7,3
0,Audio 2,5,8
0,Audio 3,8,3
0,Audio 4,7,8
0,Audio 5,9,3
0,Audio 6,6,5
0,Audio 7,7,4
0,Audio 8,3,4
0,Audio 9,8,2
0,Audio 10,7,1
1,Audio 1,8,3
1,Audio 2,4,5
1,Audio 3,7,3
1,Audio 4,4,7
1,Audio 5,8,2
1,Audio 6,5,7
1,Audio 7,7,5
1,Audio 8,6,4
1,Audio 9,9,1
1,Audio 10,7,2
2,Audio 1,8,3
2,Audio 2,4,6
2,Audio 3,7,2
2,Audio 4,5,8
2,Audio 5,9,1
2,Audio 6,6,5
2,Audio 7,6,7
2,Audio 8,6,6
2,Audio 9,8,2
2,Audio 10,8,3
3,Audio 1,7,3
3,Audio 2,3,5
3,Audio 3,9,4
3,Audio 4,5,8
3,Audio 5,9,1
3,Audio 6,6,7
3,Audio 7,7,8
3,Audio 8,2,6
3,Audio 9,9,2
3,Audio 10,8,1
4,Audio 1,7,3
4,Audio 2,5,5
4,Audio 3,7,2
4,Audio 4,6,7
4,Audio 5,8,3
4,Audio 6,6,6
4,Audio 7,6,6
4,Audio 8,5,4
4,Audio 9,9,2
4,Audio 10,8,2
5,Audio 1,6,3
5,Audio 2,4,5
5,Audio 3,8,3
5,Audio 4,7,7
5,Audio 5,9,2
5,Audio 6,4,5
5,Audio 7,7,8
5,Audio 8,5,5
5,Audio 9,9,1
5,Audio 10,9,3
6,Audio 1,8,2
6,Audio 2,5,5
6,Audio 3,9,5
6,Audio 4,4,6
6,Audio 5,9,1
6,Audio 6,4,5
6,Audio 7,6,6
6,Audio 8,4,7
6,Audio 9,8,2
6,Audio 10,9,1
7,Audio 1,7,4
7,Audio 2,2,6
7,Audio 3,8,4
7,Audio 4,4,6
7,Audio 5,10,2
7,Audio 6,6,5
7,Audio 7,6,6
7,Audio 8,5,4
7,Audio 9,10,2
7,Audio 10,7,3
8,Audio 1,6,4
8,Audio 2,5,5
8,Audio 3,9,3
8,Audio 4,6,9
8,Audio 5,9,1
8,Audio 6,5,4
8,Audio 7,7,6
8,Audio 8,5,6
8,Audio 9,9,3
8,Audio 10,8,5
9,Audio 1,8,2
9,Audio 2,3,6
9,Audio 3,8,4
9,Audio 4,5,7
9,Audio 5,8,1
9,Audio 6,6,6
9,Audio 7,7,5
9,Audio 8,5,5
9,Audio 9,8,2
9,Audio 10,8,1
10,Audio 1,7,3
10,Audio 2,4,6
10,Audio 3,8,3
10,Audio 4,5,7
10,Audio 5,9,2
10,Audio 6,6,5
10,Audio 7,7,6
10,Audio 8,5,5
10,Audio 9,9,2
10,Audio 10,8,2



